product_id,product_name,naive_stockout_units,optimized_stockout_units,naive_annual_cost,optimized_annual_cost,estimated_savings
P1000,Wireless Mouse,1093.0,24.0,27384.05,1083.01,26301.04
P1001,USB-C Cable,103.0,6.0,2367.43,493.43,1874.01
P1002,Bluetooth Speaker,0.0,6.0,1753.38,630.17,1123.22
P1003,Phone Charger,173.0,16.0,837.8,138.53,699.27
P1004,HDMI Cable,233.0,37.0,2068.15,500.85,1567.3
P1005,Laptop Stand,281.0,11.0,4510.09,693.28,3816.81
P1006,Webcam,88.0,81.0,4367.02,3850.63,516.39
P1007,Power Bank,0.0,2.0,1005.32,210.23,795.1
P1008,Coffee Mug,1337.0,31.0,21150.27,1148.66,20001.61
P1009,Non-Stick Pan,41.0,7.0,3004.49,911.42,2093.07
P1010,Cutting Board,890.0,7.0,11922.69,427.6,11495.09
P1011,Blender,2837.0,26.0,124970.03,2759.37,122210.66
P1012,Toaster,377.0,24.0,9533.1,1028.54,8504.55
P1013,Storage Containers,1015.0,29.0,5105.48,238.84,4866.64
P1014,Dish Rack,1129.0,35.0,24590.81,1351.3,23239.51
P1015,Kettle,1529.0,39.0,17228.0,688.2,16539.8
P1016,Cotton T-Shirt,244.0,28.0,2701.58,546.83,2154.75
P1017,Running Shoes,184.0,29.0,2979.7,601.33,2378.38
P1018,Denim Jacket,152.0,8.0,4180.51,616.62,3563.89
P1019,Wool Socks,0.0,22.0,1311.1,1598.58,-287.47
P1020,Baseball Cap,474.0,14.0,4616.0,255.3,4360.7
P1021,Rain Jacket,0.0,0.0,1035.95,135.65,900.3
P1022,Yoga Pants,152.0,95.0,4123.79,2595.35,1528.44
P1023,Winter Gloves,0.0,15.0,1350.47,1543.17,-192.7
P1024,Notebook,1075.0,21.0,49940.05,1775.76,48164.29
P1025,Ballpoint Pens (Pack),0.0,49.0,121.21,272.89,-151.68
P1026,Desk Organizer,0.0,0.0,120.5,9.26,111.24
P1027,Stapler,1346.0,38.0,7154.36,445.87,6708.49
P1028,Sticky Notes,0.0,1.0,313.34,90.27,223.07
P1029,Whiteboard Marker,1511.0,26.0,109599.18,3012.18,106587.0
P1030,File Folder,250.0,24.0,16229.55,2244.01,13985.54
P1031,Desk Lamp,145.0,22.0,1136.12,273.75,862.37
P1032,Yoga Mat,2942.0,5.0,47892.31,653.21,47239.1
P1033,Water Bottle,0.0,5.0,475.59,174.97,300.63
P1034,Resistance Bands,99.0,12.0,1865.43,314.82,1550.61
P1035,Camping Tent,0.0,4.0,647.43,517.84,129.59
P1036,Hiking Backpack,3.0,7.0,695.71,505.29,190.43
P1037,Dumbbell Set,67.0,19.0,3274.09,1141.06,2133.02
P1038,Bicycle Helmet,373.0,13.0,11458.09,1229.05,10229.04
P1039,Tennis Racket,0.0,5.0,1158.63,535.89,622.74
